Course_name,Inst_Name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,GUJCET Based,Govt / GIA,14906,19254,DAHOD
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",SC,GUJCET Based,Govt / GIA,23562,23562,DAHOD
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",SEBC,GUJCET Based,Govt / GIA,23208,26537,DAHOD
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",EWS,JEE Based,Govt / GIA,906009,906009,DAHOD
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,JEE Based,Govt / GIA,903433,903433,DAHOD
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",SEBC,JEE Based,Govt / GIA,910618,910618,DAHOD
"COMPUTER ENGINEERING -
TFWS","GOVERNMENT ENGINEERING COLLEGE, DAHOD",TFWs,GUJCET Based,Govt / GIA,12413,12413,DAHOD
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,GUJCET Based,Govt / GIA,37789,37789,DAHOD
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,JEE Based,Govt / GIA,910200,932302,DAHOD
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,GUJCET Based,Govt / GIA,26464,50003,DAHOD
"ELECTRONICS &
COMMUNICATION ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,JEE Based,Govt / GIA,905648,906161,DAHOD
ELECTRONICS & COMMUNICATION ENGINEERING - TFWS,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",TFWs,GUJCET Based,Govt / GIA,23959,26158,DAHOD
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,GUJCET Based,Govt / GIA,37157,37157,DAHOD
MECHANICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, GODHRA",GEN,JEE Based,Govt / GIA,990374,990374,GODHRA
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, MODASA",GEN,JEE Based,Govt / GIA,918712,932445,MODASA
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, MODASA",ST,GUJCET Based,Govt / GIA,36795,38465,MODASA
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, MODASA",GEN,JEE Based,Govt / GIA,902423,902811,MODASA
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, MODASA",EWS,GUJCET Based,Govt / GIA,35941,38315,MODASA
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, MODASA",GEN,GUJCET Based,Govt / GIA,21208,34012,MODASA
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, MODASA",SEBC,GUJCET Based,Govt / GIA,37250,37250,MODASA
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, MODASA",GEN,JEE Based,Govt / GIA,906291,906291,MODASA
"ELECTRONICS &
COMMUNICATION ENGINEERING - TFWS","GOVERNMENT ENGINEERING COLLEGE, MODASA",TFWs,GUJCET Based,Govt / GIA,19771,19771,MODASA
INFORMATION TECHNOLOGY,"GOVERNMENT ENGINEERING COLLEGE, MODASA",GEN,JEE Based,Govt / GIA,904413,905753,MODASA
INFORMATION TECHNOLOGY - TFWS,"GOVERNMENT ENGINEERING COLLEGE, MODASA",TFWs,GUJCET Based,Govt / GIA,10033,11202,MODASA
