Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,15299,23871,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SC,GUJCET_Rank,Self-Finance,20922,27360,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,ST,GUJCET_Rank,Self-Finance,30964,37547,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY - TFWS,TFWS,GUJCET_Rank,Self-Finance,3419,7907,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GEN,GUJCET_Rank,Self-Finance,3625,7897,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,EWS,GUJCET_Rank,Self-Finance,8053,8135,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SEBC,GUJCET_Rank,Self-Finance,11156,16220,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SC,GUJCET_Rank,Self-Finance,17175,26399,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE -
TFWS",TFWS,GUJCET_Rank,Self-Finance,3882,4664,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,GEN,GUJCET_Rank,Self-Finance,6125,9812,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,EWS,GUJCET_Rank,Self-Finance,9837,10740,KARAMSAD
